username,pet_breed,age,size,gender,latitude,longitude
4665,Labrador Retriever,8,large,Male,26.191724906859847,29.06621370486058
3511,Australian Shepherd,1,medium,Female,25.28863389389198,28.52860876104606
1779,Golden Retriever,12,large,Female,29.818228759017142,33.58038455487981
9717,Labrador Retriever,14,large,Female,23.612800457976586,25.947062686714133
6009,Poodle,12,small,Female,26.77674725536601,35.72742838262381
8436,Boxer,14,medium,Male,22.193946588321523,33.241333035559485
8376,Yorkshire Terrier,8,small,Male,29.549772867112058,35.604113518970195
9547,Pomeranian,3,small,Female,27.118558012695985,28.023328570305793
1391,Dachshund,3,small,Female,28.83244693812058,34.60043127942252
7986,French Bulldog,9,small,Male,24.816393037170393,31.127505943591764
4039,Border Collie,4,medium,Male,25.88856722082491,31.091726946466615
6664,Rottweiler,1,large,Male,23.84989293707908,35.34334890545826
7925,Siberian Husky,3,medium,Male,22.782734467325625,32.13861403036866
7658,Bulldog,15,medium,Female,22.34029634293967,33.19233070121618
9776,Yorkshire Terrier,2,small,Female,23.3882484393001,29.678383425326256
7558,Yorkshire Terrier,12,small,Male,29.053933521686645,33.9129819318931
8665,French Griffon,1,small,Male,28.047180787831216,35.650461276544355
7103,Boxer,6,medium,Male,23.331454691039042,28.654136344835642
7820,Bulldog,8,medium,Female,26.419245770155218,34.49281920442591
9504,Boxer,7,medium,Female,28.496879233706196,31.819100557277068
3085,Poodle,11,small,Female,25.519568566115417,31.69718059362112
5796,Shih Tzu,7,small,Male,29.850480264863833,31.34793117971745
9740,Beagle,5,small,Female,29.02983927532094,31.295419945914222
7125,Beagle,11,small,Female,29.099868402784388,31.122736631730838
1946,Siberian Husky,7,medium,Female,29.962141985216327,34.057454200959384
6290,Dachshund,5,small,Male,30.65642006330654,30.66002448576388
1056,Australian Shepherd,4,medium,Male,26.05173919758931,25.667039695333315
2044,French Griffon,6,small,Female,25.284895979556655,35.91379914866018
1705,Great Dane,15,large,Female,27.06109830332747,33.31720420710312
6720,Pomeranian,11,small,Male,26.919307219589577,34.534441918681644
9048,Chihuahua,1,small,Male,22.85743096526886,28.133261988742476
7636,French Griffon,9,small,Female,27.18646415999094,32.16357231296496
4897,Shih Tzu,14,small,Female,23.583671964663726,35.32070890249025
4726,Australian Shepherd,3,medium,Male,26.68750227445752,31.228068407746143
1359,Rottweiler,10,large,Male,24.940863680679755,32.18434118588398
5859,French Griffon,2,small,Male,28.336116470162107,35.57579987289655
7911,French Griffon,4,small,Male,24.46358814455853,34.07576010235393
4713,Great Dane,2,large,Male,23.32207657707702,28.331031693096563
1766,Bulldog,14,medium,Male,29.618085783413264,33.70631887978834
6645,Siberian Husky,2,medium,Male,25.92144611714345,33.50490513728526
9020,French Griffon,13,small,Female,28.944763064923194,28.489971432328108
6490,French Bulldog,2,small,Female,28.93910002200414,25.325291377267245
1032,French Griffon,8,small,Female,23.167060507905216,31.75071746159867
6733,Doberman Pinscher,12,large,Male,28.915360479307445,34.779004266626046
3325,Great Dane,9,large,Female,29.83662963929501,30.92543230352711
9343,Rottweiler,11,large,Male,28.350418724889934,30.440649063831554
5443,Australian Shepherd,11,medium,Female,26.731207540585977,28.592510709757995
8098,French Bulldog,14,small,Female,29.35476358030199,33.520714156838075
9051,Rottweiler,14,large,Female,25.357377603009926,27.41620294065693
6139,Beagle,11,small,Male,26.416703912020388,29.55634099309662
4988,Labrador Retriever,11,large,Male,30.51888623842584,32.7326755987042
8693,Golden Retriever,1,large,Male,26.86737950122115,31.155768927410993
9274,Maltese,10,small,Female,30.034891729767754,29.399717045668055
2770,Great Dane,7,large,Male,25.915643637098285,33.93438486620043
7160,Yorkshire Terrier,10,small,Female,24.363913418488483,25.088732896555484
1762,Yorkshire Terrier,6,small,Female,26.114803349477967,34.57674919334025
9692,Bulldog,4,medium,Female,27.562258309017295,32.953971901292775
3520,Rottweiler,3,large,Male,26.148867386316386,30.011460137050463
1654,Maltese,13,small,Male,25.277641285561646,26.798890086768807
7041,Pomeranian,3,small,Male,28.930947306948553,30.333013212122673
4987,Siberian Husky,10,medium,Male,26.485728832306556,30.98763156369894
9076,Rottweiler,4,large,Female,29.987812100384893,28.757268753459982
2979,Great Dane,1,large,Female,28.79208910258986,28.18147287848998
1463,Pomeranian,15,small,Male,23.445357279151494,28.088940652063652
9777,Australian Shepherd,10,medium,Female,23.026776906786385,33.79415533780556
3218,French Griffon,11,small,Male,27.111148130191353,29.38973101111994
8490,Shih Tzu,4,small,Female,23.148783181735343,27.50435476542374
8716,Great Dane,2,large,Female,28.439835937609388,32.562601302488716
4836,Rottweiler,6,large,Female,28.21239870094554,29.411540404783196
5838,French Griffon,4,small,Male,27.655696469178842,32.5606582254927
5444,Yorkshire Terrier,13,small,Male,24.845286240369653,33.19389425958258
8903,Siberian Husky,3,medium,Male,24.17375479654792,33.44207767084649
4703,Rottweiler,14,large,Male,24.316719644902605,29.16211174242465
3387,Border Collie,4,medium,Male,22.94836382819692,27.7480264226569
5534,Bulldog,8,medium,Male,24.068523090156773,33.91790344282319
3718,Boxer,11,medium,Male,22.710661030604914,33.39729706106449
6888,Beagle,12,small,Male,25.227342924832136,31.756073776459253
4211,Doberman Pinscher,10,large,Female,27.815038917708144,26.76769768113344
1942,Siberian Husky,1,medium,Female,30.46688413507697,30.068168204626637
5376,Rottweiler,13,large,Male,22.418379686268675,27.368034774485476
2552,Shih Tzu,9,small,Male,23.006122466601585,31.496809455708508
1827,Rottweiler,4,large,Female,30.582172737432842,25.828564578954772
3009,Siberian Husky,4,medium,Female,25.18317731141743,34.04010494471027
3392,Rottweiler,3,large,Male,27.179599880974344,32.753426491649115
1467,Bulldog,1,medium,Female,29.039821577227286,28.2892620685955
5032,Border Collie,5,medium,Male,26.634812038011685,30.527839123007695
4179,Maltese,13,small,Male,24.819637396944636,35.625328715921654
2497,French Bulldog,12,small,Male,29.529550452656903,35.955933890922296
3601,Boxer,14,medium,Male,29.91448744500682,34.609078839097464
2247,Bulldog,13,medium,Female,28.575334830575947,28.816189022328402
6941,Australian Shepherd,10,medium,Female,23.136669879516262,31.653380384521228
1235,Poodle,9,small,Female,27.35523466435611,34.435206417951235
4602,Golden Retriever,9,large,Male,25.963298436391682,30.45291330604852
2966,Rottweiler,12,large,Female,28.559877898986976,34.073825621429606
3796,Doberman Pinscher,10,large,Male,24.27410071470392,25.131264635083085
4043,Bulldog,2,medium,Female,29.823858154297838,30.18524446351322
9188,Doberman Pinscher,15,large,Female,29.983158103047945,25.30940587851977
4742,French Griffon,14,small,Female,27.27667591809858,28.370463279777887
3211,German Shepherd,10,large,Male,27.643370272346093,32.24252394203444
6234,Shih Tzu,10,small,Male,28.417352185845782,27.522303244539742
3278,Doberman Pinscher,8,large,Male,24.29308223553562,31.42194097473384
4338,Poodle,5,small,Female,24.964175757267487,34.951358200658
4049,Chihuahua,10,small,Female,27.253311867396576,35.704840391596086
7889,Yorkshire Terrier,2,small,Male,26.072158704558746,25.748195555268378
4193,Maltese,14,small,Male,22.279531712312547,33.04085276421098
2711,French Bulldog,13,small,Male,28.00541241785986,27.12610637137511
9405,Yorkshire Terrier,2,small,Male,27.914629007259318,28.7307060112841
8187,French Bulldog,12,small,Female,24.822737323864647,32.36932794086104
5058,French Griffon,10,small,Female,22.063221209377105,34.083564150442804
5906,Border Collie,5,medium,Male,24.907727521637273,35.9787994196738
5245,German Shepherd,9,large,Male,28.937202041089478,31.207341493694273
6265,French Bulldog,6,small,Female,26.212763209984928,25.793819045827373
4245,Great Dane,4,large,Female,30.581908458158168,29.84914855428652
6276,French Bulldog,13,small,Male,30.243965360130602,29.586059403232213
3196,Rottweiler,14,large,Female,28.53281387291507,33.774033524559044
4883,Labrador Retriever,7,large,Male,30.796056162755036,29.270483859895307
8461,French Bulldog,15,small,Male,24.043737617299005,26.963564510950768
9475,Shih Tzu,8,small,Male,23.481064974384747,35.64353497807403
5535,Labrador Retriever,14,large,Female,22.314865314944306,34.10050240287093
5596,Siberian Husky,11,medium,Female,22.129767708581944,32.3662382434703
1868,Boxer,11,medium,Male,28.832332659763676,35.52263158211725
6021,Labrador Retriever,5,large,Female,30.32478347274667,31.72776059642694
5071,Shih Tzu,13,small,Female,29.12997960540526,34.34536599637808
7486,Dachshund,15,small,Female,28.328181956069958,26.540773467214017
6972,Doberman Pinscher,3,large,Male,22.005128029659506,25.224307790706778
4268,French Bulldog,7,small,Male,26.544696268060683,27.558481483650223
3364,Doberman Pinscher,2,large,Male,25.890360855595844,28.73280033030711
2448,Shih Tzu,2,small,Male,26.626946541168316,31.608590532405053
2568,German Shepherd,13,large,Female,29.13559092980321,34.85083726122027
6723,Rottweiler,12,large,Male,22.714321798634582,33.67438324854194
5691,Maltese,13,small,Female,27.321909038831286,28.823098133849626
8983,French Griffon,2,small,Female,25.390908004599503,27.576637204498887
2585,Golden Retriever,1,large,Female,25.66766422624945,29.48475552932679
9470,Yorkshire Terrier,7,small,Male,27.3279880460494,28.64945453133297
6755,Border Collie,10,medium,Female,29.791047803008894,25.645368581062314
8317,Doberman Pinscher,2,large,Male,26.606094511459094,35.00117182162119
2121,Dachshund,14,small,Female,25.577696492585837,33.31133690059751
4815,Doberman Pinscher,1,large,Male,28.522681467978543,35.69612288134942
7134,Poodle,10,small,Male,23.52389656008771,32.73445159205349
4847,German Shepherd,1,large,Female,27.776176790237248,32.2620131223825
4119,Siberian Husky,11,medium,Male,24.10411789179291,30.72742373260467
4407,Pomeranian,3,small,Male,26.570424310152497,29.95743857343468
8764,Chihuahua,9,small,Female,26.386734691024813,26.646104322943536
5959,Doberman Pinscher,1,large,Male,29.495775059387327,31.24624859175119
7927,Chihuahua,3,small,Female,26.31035737896589,33.33950313349729
3774,Maltese,10,small,Male,27.859829296396335,34.091893530203485
3443,Border Collie,9,medium,Female,22.50644500599134,32.94893506186974
8877,French Bulldog,7,small,Male,28.183941831924493,33.222668373112114
6402,Dachshund,6,small,Male,23.58967085075961,25.476229380234038
3203,German Shepherd,10,large,Female,25.376689506201046,35.45415869586675
3853,Pomeranian,9,small,Male,28.110258358642625,27.76500086671332
4605,Rottweiler,3,large,Female,28.468551421672128,35.28290598501596
5008,Maltese,8,small,Female,25.985370238504018,33.96002173764262
9887,Australian Shepherd,13,medium,Female,30.095296941855963,32.492737997581386
6015,Golden Retriever,13,large,Female,30.34383383559944,33.362675601214434
6060,Boxer,13,medium,Female,23.599151918368996,34.04550790114966
1565,Border Collie,15,medium,Female,26.080551276789024,33.87765600176709
8551,French Griffon,9,small,Female,24.69847395136316,33.1287383254118
8358,Australian Shepherd,15,medium,Female,23.462593005553547,30.141375655011903
4096,Golden Retriever,8,large,Male,25.56466209165328,27.328852654965488
8677,German Shepherd,10,large,Female,22.689262704885575,35.8691325682608
7318,Yorkshire Terrier,12,small,Male,24.1025998174672,29.153504643866427
7871,Labrador Retriever,4,large,Female,26.50142696300744,29.27991226623458
4235,Golden Retriever,13,large,Female,25.64445085652323,33.15636939177785
2318,Maltese,3,small,Female,29.377693058318222,28.01097870966652
1348,Doberman Pinscher,14,large,Male,28.60905231433054,35.17672281369109
8479,Poodle,8,small,Female,27.548055154423462,33.777053520192965
1215,Great Dane,9,large,Male,27.83716658424134,29.769277123923345
1112,Maltese,1,small,Female,27.153015452529747,27.050573893322493
7272,Poodle,14,small,Male,25.59706658815967,25.721238274915702
1808,Siberian Husky,5,medium,Male,23.315063987478403,27.412316347180255
7445,Poodle,3,small,Female,27.34835595307745,35.2729685872304
5567,Golden Retriever,6,large,Male,27.891219372928802,35.329419697427284
2440,Maltese,8,small,Male,22.123210453444976,29.77329883356764
3055,Yorkshire Terrier,6,small,Female,27.671290637031547,34.60467439971382
7827,Doberman Pinscher,11,large,Male,28.03417224410734,29.741475797083755
1952,German Shepherd,6,large,Male,26.937204504177547,33.23406154550708
5447,Australian Shepherd,13,medium,Female,29.667042002641526,35.524444951148126
9950,German Shepherd,10,large,Female,29.807058748668908,34.9358309470385
3618,Maltese,4,small,Male,22.390365523015966,33.71935793608496
3079,Siberian Husky,4,medium,Female,24.32210436728842,35.65369727531865
5679,Poodle,7,small,Female,24.574478091510628,30.475303150383077
3147,Boxer,11,medium,Female,22.74114987269375,31.350943781826096
2516,French Bulldog,15,small,Male,25.87444579596662,31.029188727154718
3821,Chihuahua,9,small,Male,24.796982260456467,34.79826334431294
1832,Australian Shepherd,12,medium,Female,30.201075144764523,35.4692175430879
4853,Border Collie,4,medium,Female,22.782881485651075,35.59576671143046
9844,Rottweiler,12,large,Male,22.81095955930205,32.48323254141725
8126,Labrador Retriever,1,large,Male,30.89972641779227,31.760920953820673
6812,German Shepherd,13,large,Female,29.94700493956892,27.063357727772033
7261,French Griffon,1,small,Female,30.528363369295146,28.67364532428094
7404,French Bulldog,12,small,Male,29.11555751234676,35.778921438486805
8281,Beagle,13,small,Female,23.075444190309845,26.533636399896075
7831,Border Collie,13,medium,Female,23.619412145798314,27.90321116322042
7597,Dachshund,8,small,Male,28.99700384362618,27.288406798920764
4980,Dachshund,12,small,Male,23.670646886255557,35.43204508385429
2065,Boxer,10,medium,Female,30.73540861040952,25.34350526544796
7171,Yorkshire Terrier,5,small,Male,28.567453800471363,35.079490231380106
5441,French Griffon,6,small,Male,23.606047954473105,32.86829561564075
7719,French Bulldog,7,small,Female,25.61170154736488,35.67436940028871
7462,Boxer,7,medium,Male,22.254715683051966,34.93433760680381
7190,Shih Tzu,14,small,Female,24.499448960546843,31.007332995415076
2728,Yorkshire Terrier,11,small,Female,29.965719182031165,27.98371993074956
4613,Border Collie,12,medium,Female,24.487028160923927,28.81949980590437
7782,Maltese,5,small,Male,28.085819991569394,27.104304949075747
4456,Labrador Retriever,7,large,Male,24.267775980484167,32.02082017876612
8112,Australian Shepherd,5,medium,Female,22.924986835518226,27.372507106541022
8299,Poodle,8,small,Female,28.253284435322712,29.671688249184882
3747,French Bulldog,9,small,Female,23.606541142153972,29.386053864804175
7322,Labrador Retriever,8,large,Female,24.873860031999744,28.57607916514968
3258,Maltese,1,small,Male,22.456558070302926,30.904322291739565
4120,Great Dane,15,large,Female,23.914485688143486,26.98030184766734
1018,Poodle,11,small,Female,25.1497792517556,30.190448809179458
1717,Doberman Pinscher,13,large,Female,28.954855584758498,25.00017095849064
7167,Rottweiler,14,large,Female,26.358912024427383,31.869017499925796
5853,Doberman Pinscher,14,large,Female,24.857015249644224,25.719600365869464
2720,Chihuahua,7,small,Female,26.70048322903817,28.8948231923222
