username,pet_breed,size,age,gender,latitude,longitude
86475,Rottweiler,large,10,Male,25.09882230241486,29.526725994741902
22228,Golden Retriever,large,10,Male,25.822365123755368,31.939867903935426
11095,Doberman Pinscher,small,10,Female,23.680646752551777,33.917034595295284
26893,Dachshund,small,3,Female,23.09729403144313,27.344031326125204
87734,Shih Tzu,medium,6,Female,27.08488161274293,33.219110396338486
45776,Great Dane,large,1,Male,27.820974089910575,35.884337857728724
24043,French Griffon,large,13,Male,28.696711791873454,32.377288234080105
80825,German Shepherd,small,1,Male,30.270436389022358,26.955864861812813
61081,Labrador Retriever,medium,10,Female,30.157287033375226,32.3560795067174
68115,Golden Retriever,small,13,Male,29.074391579613774,27.222831480703306
60548,Siberian Husky,small,1,Female,29.478185423112674,31.52193751226384
95757,French Bulldog,large,14,Female,30.217941137670223,34.66366875167418
21822,Chihuahua,small,7,Male,23.859959502162596,32.737058722573934
80769,Shih Tzu,small,5,Female,25.187269782061065,33.831431326914846
95523,German Shepherd,small,8,Male,27.653149764981293,28.498460248697214
40732,Shih Tzu,large,11,Male,23.027467682201397,27.24885449582586
83096,Pomeranian,large,4,Male,26.829114269693733,34.2000826348279
60770,Australian Shepherd,large,3,Male,29.883879781196114,32.15691163061114
55816,Pomeranian,large,5,Female,25.860305374819543,27.341608319093545
83031,French Griffon,small,11,Female,27.074337400952135,29.975676350844765
51994,Dachshund,medium,14,Male,22.666575064225803,25.841089019086457
71494,Doberman Pinscher,small,11,Female,28.739285147015693,28.323696181994077
81443,Pomeranian,medium,2,Male,29.64765723048864,25.0082101444345
77411,Bulldog,small,5,Female,25.633143892257046,32.511295997771434
77523,Border Collie,medium,8,Male,23.440038169295494,31.988717362040358
98507,Golden Retriever,small,14,Male,27.601485093829126,25.697556887744536
35041,French Griffon,small,10,Female,29.415149865002178,29.176207355929535
40870,Doberman Pinscher,large,6,Male,26.994288402476688,27.847300177568968
90460,Great Dane,large,3,Female,26.43687116035874,28.249657606374242
13407,Australian Shepherd,small,9,Female,29.73930035415627,35.51297905745287
39854,French Griffon,medium,4,Male,27.761300572608352,31.595201968659406
95268,Labrador Retriever,medium,3,Male,23.063432411008993,34.34346480248111
15888,Poodle,medium,5,Male,28.65386713761251,35.33310415610628
24671,Dachshund,small,3,Male,27.75148814592233,31.271011595333967
41032,Border Collie,medium,12,Male,27.490836901969757,29.558103117178096
90331,Siberian Husky,medium,10,Male,26.767312359305663,28.189460170830532
90312,Shih Tzu,small,15,Female,25.361835493749798,28.643035769401493
62236,German Shepherd,medium,3,Female,26.580909947680958,29.582603816765488
31127,Australian Shepherd,small,7,Female,30.5795250201436,32.87861567261024
96747,French Griffon,medium,12,Female,29.54034153216212,26.889225723375652
97841,Doberman Pinscher,medium,5,Male,22.99108003667306,28.672097213715013
79811,Dachshund,small,8,Female,26.00270294534935,29.187607319764744
54671,Yorkshire Terrier,small,11,Male,27.539297094745567,29.30585875145707
46236,Doberman Pinscher,large,3,Female,28.13870023835074,29.98613068131069
64291,Australian Shepherd,medium,8,Male,29.25153993495402,28.047956524861487
30975,Shih Tzu,small,14,Female,27.1937282023935,32.26270162290398
11851,Labrador Retriever,medium,1,Male,26.381588296911133,30.152160124873497
74490,French Griffon,large,14,Female,28.61786932545659,33.11828440325302
99057,Chihuahua,small,8,Female,24.523638144531557,29.285541057654413
93059,Beagle,small,8,Female,22.08709924010836,35.682724167898485
31803,Beagle,medium,1,Female,23.644482109920943,35.008097002992265
26405,Maltese,large,10,Female,23.83229302433045,34.04238114671636
33481,French Bulldog,medium,3,Female,23.784426031861884,29.780495963501103
10451,Doberman Pinscher,small,1,Male,26.625795912601596,33.72495014286861
85444,Chihuahua,large,2,Male,25.38528986579622,27.266591663570708
27668,Labrador Retriever,small,15,Female,22.347508617165392,25.048226246536522
63186,Boxer,small,14,Female,23.94985597376994,26.970825818696333
29580,Boxer,large,13,Female,25.816673266086006,30.476032099088826
56323,Pomeranian,large,15,Male,29.446780559543328,25.91428844735589
82035,Australian Shepherd,small,11,Female,29.539096502912436,32.7959406104757
75430,Poodle,small,15,Female,30.356817125148886,27.221997739604202
57119,Dachshund,large,7,Female,27.749175348525554,25.744697376095832
77664,Poodle,small,9,Female,29.053477167064674,28.54730533323537
57555,Doberman Pinscher,large,5,Female,24.24173940860596,30.486299474488412
94692,Shih Tzu,small,13,Female,23.849869810837042,33.41353815223175
27919,Shih Tzu,small,5,Female,29.34453565834513,34.32287784645026
20589,Poodle,small,5,Male,30.005230356161,33.58470283894365
29725,Siberian Husky,small,14,Male,23.731057580663975,26.069194321919902
46539,Maltese,small,8,Male,28.568770719987775,25.96121436500718
38190,Maltese,medium,11,Male,26.68074391504971,33.66262175180802
80773,Australian Shepherd,small,13,Male,27.769380627388404,28.571894458459536
85087,Rottweiler,small,1,Female,23.085907383118748,29.627601542772183
67033,Pomeranian,medium,10,Female,22.259898365529896,33.59370891787286
36821,Australian Shepherd,small,10,Female,23.38830121857578,29.25813517684268
80588,Boxer,large,8,Female,23.31017619588296,26.927023280852335
59457,Golden Retriever,medium,11,Female,29.08109553420489,35.17420376917499
81391,Border Collie,small,12,Male,29.317642356997453,27.39344635705229
59226,Beagle,large,5,Female,26.801713378082646,32.33772719617357
86706,Border Collie,small,4,Male,26.893560843449926,33.58909478347505
29607,Great Dane,large,15,Male,26.561332828378955,27.790435582600725
54507,Border Collie,medium,8,Female,22.34436179020568,28.204146005470886
83016,Siberian Husky,large,9,Male,26.215249942333617,25.32304972411949
22451,Doberman Pinscher,small,15,Female,27.579337787440096,27.329209617834408
16520,Golden Retriever,large,5,Female,30.307347304151907,31.319259553434712
18937,Dachshund,large,6,Female,29.57569923604955,31.687071047648757
60265,Great Dane,small,15,Male,30.094969639786257,35.86053743012158
40033,French Bulldog,medium,2,Male,26.90639612434008,34.32004382387585
49374,Labrador Retriever,large,1,Female,29.37351355595716,31.320453040084953
47088,Bulldog,large,7,Male,30.556357695875164,28.96262457923717
36933,Rottweiler,medium,3,Male,30.627107772628655,29.684375733887077
11781,French Griffon,small,7,Female,29.569776666999896,32.990873021156546
61460,Maltese,small,13,Male,30.744003663332784,30.02338951640058
21731,Australian Shepherd,medium,3,Female,26.641240384282696,32.22661350973029
16754,Shih Tzu,medium,13,Male,30.79654206771483,28.83672140335987
38444,Doberman Pinscher,small,12,Male,30.23611661657626,33.65290765753389
89726,Great Dane,small,1,Male,25.88343726176556,33.347489346729134
78287,Beagle,medium,5,Male,29.528759946034008,28.956601170805182
96795,Boxer,large,15,Female,29.725091023604854,32.96931846931268
91854,Australian Shepherd,small,6,Male,25.19412826084384,33.81177884621826
59104,Rottweiler,large,5,Male,25.73718030680993,28.245475947531812
67774,Rottweiler,large,10,Female,22.669581418293788,30.131900350827987
90016,Australian Shepherd,medium,5,Female,28.824857636768833,32.73294674474962
29028,Golden Retriever,small,11,Female,22.876113484477564,33.62803142840528
92154,Boxer,medium,10,Female,27.464969787503215,31.679848800562404
51103,Yorkshire Terrier,small,5,Male,24.170232862211638,29.591118281781867
10664,Beagle,small,1,Male,27.30862041073528,27.573150576129695
26897,Beagle,small,11,Female,25.810707648045078,29.650174094298066
68525,Pomeranian,small,1,Female,26.903702063618212,33.88633022858286
23544,Doberman Pinscher,medium,8,Male,25.500406406104325,35.082133866251795
68586,French Griffon,large,10,Male,30.913732450738635,27.208340641473754
82658,German Shepherd,small,10,Male,28.074920190991563,26.551802760978777
70334,Great Dane,small,14,Male,28.585263009189273,35.997278086684176
36701,Golden Retriever,small,9,Female,27.20664977008431,30.581042028331545
35512,Shih Tzu,small,11,Female,24.441499453456935,31.338316230998586
19873,Great Dane,small,6,Female,24.07702501649942,35.30914051765681
24130,Siberian Husky,small,12,Female,24.43743626268608,25.816633306184006
53847,Boxer,medium,3,Male,29.304699659324868,34.42017143877344
47077,Labrador Retriever,large,12,Male,26.673804264241472,30.411231558696095
89279,French Bulldog,large,2,Male,24.59589836621717,31.464038242055118
68240,Shih Tzu,large,1,Female,24.360888496367146,26.0280101953081
64611,Doberman Pinscher,large,11,Female,26.90723455598271,25.426514905850095
94268,French Bulldog,small,8,Male,27.23553306261509,26.47950529837881
69048,Doberman Pinscher,large,11,Male,27.576810987762112,32.953073053985975
98752,Doberman Pinscher,medium,13,Female,24.455676276721007,27.999081022602184
70213,Border Collie,small,9,Female,26.044271669390323,27.157292639365366
76593,Beagle,large,12,Female,22.010882604427643,33.48754433675542
64444,French Griffon,small,15,Female,22.246883493627102,31.232490587213604
25873,German Shepherd,small,10,Male,27.086115030832545,28.529296839133877
66838,Golden Retriever,small,6,Male,23.45916848092061,27.4782651681199
83149,Chihuahua,small,12,Male,28.305283510842756,26.476420339127916
41232,Great Dane,small,8,Male,26.87225298804855,25.60829551212729
87869,Poodle,small,1,Male,26.35615636546366,27.433773669298084
65491,German Shepherd,large,11,Female,27.848556180007456,27.19146249259932
34751,French Griffon,small,5,Male,30.506218827235323,28.312678936811963
27580,Maltese,medium,7,Female,28.662191122182897,33.88762866722871
43665,Great Dane,small,3,Male,26.240953373450793,29.235394455980007
84304,Dachshund,large,13,Male,30.488360443840335,28.281508199995287
18125,Chihuahua,small,6,Female,24.596077355581805,25.586798548258137
94930,Yorkshire Terrier,small,6,Female,29.333004744952426,34.11527534890184
69702,German Shepherd,small,8,Male,26.620308167254468,26.430573162421965
53745,Rottweiler,large,7,Male,22.330069166893296,33.21366721710213
38535,Maltese,small,11,Male,23.44741817908207,29.0290845104517
89815,Pomeranian,large,8,Male,29.272295546785337,25.214378214674927
19485,French Griffon,small,7,Male,28.765928006534203,35.81208293411756
80349,Rottweiler,small,7,Female,30.300718727130175,28.910415960264874
80986,Maltese,small,12,Female,26.99940407874287,34.5657473018616
70717,Chihuahua,small,11,Female,30.374230875591614,29.94110930241872
54483,Dachshund,medium,12,Male,26.948071980762744,35.73953504429848
75313,Chihuahua,small,8,Male,30.823045436649366,30.351299960281874
48285,Maltese,small,4,Male,24.42088988705925,31.425442422130544
68363,Beagle,small,13,Female,22.550782227168348,28.43132435414416
26576,French Griffon,small,6,Female,28.176290409106695,29.046306254056255
80938,Shih Tzu,large,11,Female,24.577424732614084,34.970751707302654
15565,Poodle,small,14,Female,30.84399394591828,29.46482445357988
23128,Boxer,small,14,Male,29.94489537078022,29.09658188162019
52223,Rottweiler,large,3,Female,28.404380758551355,26.564803320833146
46813,Labrador Retriever,large,3,Female,24.359018110868725,28.78278106397597
85153,French Griffon,medium,3,Male,25.753541088793476,25.202246950202568
84824,Boxer,medium,1,Male,29.37532274354539,33.38647966447893
55168,Pomeranian,medium,12,Female,26.56462798951292,26.948458711845845
22009,Shih Tzu,small,5,Female,22.365876720304907,30.956215363523008
94110,Labrador Retriever,medium,8,Male,22.621372208351172,27.498622296803795
48673,Rottweiler,large,3,Male,29.89076894844516,33.04981251192484
32219,Bulldog,medium,6,Female,29.360240044688155,26.303783835845447
94446,Labrador Retriever,large,6,Male,28.791771900596537,34.45813867372499
20961,Beagle,medium,3,Female,26.147394805165852,27.179926115764275
88696,Beagle,small,2,Male,25.468689131863265,32.606119128520255
81337,Bulldog,medium,4,Female,22.14621238257397,31.669671471151155
12558,Yorkshire Terrier,small,12,Male,30.4599068156697,33.861257431019936
30758,Dachshund,small,6,Female,28.138402302556074,30.236849477410566
65987,Doberman Pinscher,small,13,Female,27.06724825013715,25.078271589186325
38297,Chihuahua,medium,12,Female,29.52649034209878,29.54080197741252
30150,German Shepherd,small,7,Male,27.150538901436335,35.419187859887906
85755,Great Dane,small,1,Male,26.167528727155826,25.74299265618315
90046,Border Collie,small,1,Male,24.92703341297112,26.374084302908006
14672,Australian Shepherd,large,11,Male,28.123012046976783,29.754879553674787
20833,Boxer,medium,7,Male,25.427029999595142,29.35031341671744
52666,Pomeranian,small,6,Female,23.40048019398779,34.69479692362693
75552,Labrador Retriever,small,12,Male,26.871073108930435,28.19449536342004
58401,Chihuahua,medium,10,Female,22.861395746863405,33.499194087170565
91580,Beagle,small,7,Male,29.27187694278608,30.662263463648657
96013,Doberman Pinscher,large,9,Female,23.605227282848396,26.496333431699743
62921,Beagle,large,2,Male,23.195764124215994,31.16657248289468
31965,German Shepherd,medium,15,Female,27.998098328530894,29.95614364999097
79602,Labrador Retriever,small,9,Female,26.166852035742913,32.336019703420696
90475,Labrador Retriever,large,7,Female,22.809722758521886,32.618331023077616
95839,Shih Tzu,large,2,Female,22.576731335079945,35.39534990094953
60248,Doberman Pinscher,large,15,Female,23.97032858729971,29.276262832832828
12200,Pomeranian,small,7,Female,24.740816035816103,32.41940504808318
44563,Great Dane,small,7,Female,29.660632402735985,34.88931682243828
16177,Shih Tzu,small,11,Female,23.434918314007394,26.698305551420827
36074,Beagle,large,6,Male,22.839010672914082,25.33845948186704
41495,Pomeranian,large,15,Female,28.29707115353552,29.744272879245138
51292,Maltese,small,4,Female,29.71039579023707,28.371478541488862
97598,Bulldog,small,5,Female,26.96531930438692,35.94639990382221
78048,Poodle,medium,2,Male,24.656564709510125,33.515129716139135
43633,Shih Tzu,small,4,Female,28.83320384918409,27.52132161752282
25416,Poodle,large,13,Female,30.12267799621398,35.163744102102314
66210,French Griffon,large,10,Female,25.96367176500246,25.169900507875674
55202,Boxer,small,12,Male,28.59644826348007,35.485733935374114
22829,Doberman Pinscher,small,1,Male,27.145011466524615,29.530274590900056
70148,Great Dane,large,7,Male,28.43804545688842,29.202713831310803
58525,French Bulldog,large,8,Female,28.526181143103713,28.963710191351552
90490,Dachshund,large,1,Female,29.94055684791388,33.52509161363227
36282,Poodle,large,1,Female,30.12093541145013,28.604427381987357
19568,Siberian Husky,large,8,Female,29.00335161421675,34.54458564056869
32918,Golden Retriever,small,1,Female,26.566320345402993,25.729344511428295
73201,French Griffon,small,7,Female,24.11575671871065,29.730547587523645
72106,Maltese,small,4,Female,26.74613018253498,31.852466453864075
49957,Border Collie,small,1,Male,27.172520708002,30.069111572150476
57512,Chihuahua,small,8,Female,29.491057581379682,32.712449905770974
27080,Bulldog,small,1,Female,22.35263396217713,29.140845018303516
30189,Border Collie,small,15,Female,23.282143773151475,26.556280691990587
67777,Maltese,small,13,Female,25.10646257444183,27.997024784991716
31685,French Bulldog,medium,11,Male,26.489688326942684,25.05783897233187
66682,French Griffon,small,12,Female,29.533258455357096,26.328483399353512
46016,Maltese,small,11,Female,27.37207626461352,34.6126663002327
67310,Dachshund,large,15,Male,28.73324547908492,28.74081629821918
33730,Golden Retriever,small,5,Male,23.34397509607855,27.687231379517215
